,page,id,text,like,love,care,haha,wow,sad,angry
0,atunemusichebe,459676142185532,"翻翻相簿回憶2021，其中當然有許多我鍾愛的大自然遼闊美景，也有家人朋友們溫馨相聚情感流動之美，而生活處處也都有各種令人心動的美麗細節。

想想能如實呈現屬於我2021年的照片，是一個在冬日午後，正在會議室開會，被外頭暖陽吸引，而隔著窗拍下陽台的一隅。

冷冷的冬天，亮晃晃的陽光灑下，格外溫暖。
門檻上有反覆補上又斑駁的落漆，角落有些搖搖欲墜的植栽，送去陽台急診也救不回的枯萎了；
有些則努力的生長著，陽光灑落在葉脈上，生命力更顯通透清晰。

2021年的寒冷與溫暖、凋零與生長、窗裡與窗外，斑駁與完善，讓我體會了一體不只有兩面。

不管回顧哪一年，奔向哪一個新年，
時間總在不可逆的流逝著，
也總在教我學習如何珍惜。

新的一年也會繼續愛，繼續學。

祝福大家在新的一年，
在屬於自己生命的一隅，
適得其所，平安快樂。

#屬於你2021的照片是什麼呢？
#想要像角落的左手香一樣香香的向陽生長",10628,1000,34,3,4,2,0
1,atunemusichebe,455641899255623,"/小樂手/

叮咚~上線囉👂🏻",2084,245,7,1,1,0,0
2,atunemusichebe,452084076278072,"👩🏻‍🍳🎂

黑森林裡有諾貝松🍫🌲
雪地上有草莓❄️🍓

#hebereats",11667,979,26,9,20,0,1
3,atunemusichebe,450930539726759,"/小樂手/

冷冷的天氣 ❄❄❄
快穿上 ONE BOY All in one 全方位衝鋒衣3.0
👉 https://oneboy.tw/sxtKj

暖暖的內層、強悍的外層
蓄熱升溫在內、防風防潑水在外 達到完美平衡 !
三種穿法一次擁有，穿上它溫暖又舒適❤️

"" 冬天，一件就夠 怕冷就穿 ONE BOY衝鋒衣 ""

#ONEBOY
#ONEBOY衝鋒衣",4883,458,13,2,10,0,1
4,atunemusichebe,441942027292277,"Hi 十二月 ！

十二月的第一天，今天正好用冷冷的空氣，各種松葉的香氣，及可愛的紅黃綠開啟。

#不敢相信2021就要過完了
#感恩的季節
#聖誕的味道",11142,939,35,3,5,1,0
5,atunemusichebe,440796887406791,"光 影 相 生

想到在【小夜曲】中，喜歡的一段台詞。

「一個人有兩個我，
一個在黑暗中醒著，
一個在光明中睡著。

我是烈火，
我也是枯枝，
一部分的我消耗了另一部分的我。」
-Kahlil Gibran

#需要每個面向的自己
#坦然面對每個面向的自己
#光與影共生共存
#紀伯倫
#沙與沫",9008,839,30,2,7,0,1
6,atunemusichebe,438257937660686,"/小樂手/

最近越來越冷囉～外套準備好了嗎🤗
全新升級款的All in one 全方位衝鋒衣3.0
👉 https://oneboy.tw/MvUQv
一起穿起來吧！

ONEBOY 今年的新款式
內外兩層可以分開穿 也能合在一起外層防風防潑水
內裡是雙重加絨設計冰島絨材質 超保暖 升溫效果也是大大提升🔥
"" 冬天，一件就夠 怕冷就穿 ONEBOY衝鋒衣 ""

#ONEBOY
#ONEBOY衝鋒衣",44582,2241,93,28,41,0,3
7,atunemusichebe,436723341147479,"背影殺手

喜歡從不同角度欣賞人事物

#背影好美
#來個特寫
#側面也是層層疊疊完美弧度
#晚安
#好眠",12637,894,20,9,19,0,1
8,atunemusichebe,431643258322154,"喜歡山水
喜歡自然
喜歡滿眼望去綠意盎然
喜歡帝康的 #凱莉綠 讓我雙眼充滿綠意

週日，你眼睛裡是什麼？

（我知道週一是眼神已死 噗噗）

#帝康
#新色報到
#CHARM臻魅
#彩色日拋
#隱形眼鏡
#安柏金
#凱莉綠
#奧麗灰",27129,2401,89,78,23,2,1
9,atunemusichebe,425641268922353,"蒴 果
僅 存
的 愛",9231,773,21,4,8,0,0
